,USC00420819,USC00487760,USS0005G04S,USS0005J04S,USS0005J06S,USS0005J37S,USS0005J39S,USS0005K05S,USS0005K09S,USS0005K14S,USS0005K26S,USS0005K28S,USS0006G01S,USS0006G02S,USS0006H09S,USS0006H10S,USS0006H19S,USS0006H20S,USS0006H22S,USS0006H23S,USS0006J03S,USS0006J05S,USS0006K01S,USS0006K04S,USS0006K06S,USS0006K08S,USS0006K10S,USS0006K14S,USS0006K16S,USS0006K39S,USS0006K40S,USS0006L02S,USS0006L11S,USS0006M03S,USS0006N04S,USS0006N16S,USS0007H03S,USS0007H04S,USS0007H05S,USS0007K02S,USS0007K06S,USS0007M12S,USS0007M16S,USS0007M27S,USS0007M29S,USS0007M30S,USS0007M31S,USS0007M32S,USS0007M33S,USS0008G03S,USS0008G07S,USS0008G10S,USS0008M02S,USS0008M06S,USS0008M08S,USS0008M10S,USS0009F23S,USS0009F27S,USS0009F28S,USS0009G09S,USS0009J01S,USS0009J05S,USS0009J08S,USS0009J16S,USS0009K01S,USS0009M02S,USS0010F15S,USS0010F16S,USS0010F17S,USS0010F19S,USS0010G02S,USS0010G25S,USS0010J01S,USS0010J04S,USS0010J10S,USS0010J18S,USS0010J20S,USS0010J26S,USS0010J30S,USS0010J35S,USS0010J43S,USS0010J44S,USS0010J52S,USS0010K01S,USS0010K02S,USS0011F11S,USS0011G01S,USS0011G05S,USS0011G06S,USS0011G30S,USS0011G32S,USS0011G33S,USS0011H08S,USS0011H21S,USS0011H25S,USS0011H30S,USS0011H36S,USS0011H37S,USS0011H55S,USS0011H57S,USS0011H58S,USS0011J01S,USS0011J02S,USS0011J08S,USS0011J11S,USS0011J21S,USS0011J23S,USS0011J32S,USS0011J37S,USS0011J42S,USS0011J46S,USS0011J52S,USS0011J53S,USS0011J56S,USS0011J57S,USS0011J64S,USS0011J65S,USS0011J68S,USS0011J69S,USS0011K03S,USS0011K09S,USS0011K13S,USS0011K21S,USS0011K22S,USS0011K28S,USS0011K31S,USS0011K39S,USS0011K52S,USS0011L01S,USS0011L04S,USS0011L05S,USS0011M03S,USS0011M06S,USS0012J06S,USS0012J09S,USS0012L04S,USS0012M26S,USW00023066,USW00024089,USW00024127,Cluster_0,09314500,09315000,09328500,09330000,09330500,09337500,09378630,09379500,09382000,09386900,09386950,09402000,09402500,09404110,09404200,09404208,09404343,09415510,09423000,09423350,09520280,Cluster_-1,Cluster_1,Cluster_2,Cluster_3,Cluster_4,09380000
2021-12-31,0.17664387351441432,0.0,0.05795025536914467,0.151267115500277,0.190744511465062,0.26933137498755255,0.33295025861931465,0.06661316233099904,0.03242413953785339,0.22127113880117288,0.2948890628762872,0.10918555435068568,0.032042214479654677,0.17686694205180908,0.6734275763067398,0.6552382701548596,0.2034904227493421,0.3934796641923951,0.14350134564231715,0.5762209355758043,0.30953181992614265,0.3065648066940059,0.05511780722828555,0.037662520061531785,0.18450505702674702,0.15293010106084465,0.2616958662805841,0.11633832810848505,0.09919409273112674,0.1321254041110823,0.16124368075591866,0.1110872042067218,0.4028849523077514,0.3347809719080191,0.0,0.0,0.26751218569230084,0.23793861299930233,0.5435986072601321,0.05912643026777051,0.04450824733687264,0.5078371903846737,0.027323803517230308,0.06425582051765946,0.10858182947158893,0.0,0.09890813838071952,0.4699719579414244,0.15706846519949957,0.29499205693813,0.048782792502604144,0.17190480063562924,0.025557827936367628,0.21641720714008864,0.04809328011447567,0.08299647291031179,0.19756825444124942,0.1557875265886659,0.39574488776154193,0.16975472602352037,0.40460720493632757,0.5773239809867972,0.04274131585718415,0.1951463481902736,0.13929536530820524,0.0,0.49946899500506103,0.5195003926973883,0.49007585249446584,0.3375092863240648,0.41645215883094877,0.3766210366853773,0.09133617380941425,0.3224837645547931,0.4033342761455296,0.3923167846112582,0.23070964839855135,0.45598263145939666,0.6655505060439206,0.3916742111055814,0.3215080070740659,0.5812484843923337,1.1401917692799717,0.6658679823289937,0.3506874321543758,0.5488224374512314,0.3988394149385288,0.6214250351970513,0.47329015920929063,0.4630397308453937,0.4851058323020314,0.3269522358717655,1.3350297153733741,0.7577526349276531,0.47895595285234416,0.9072752522923209,1.185119388987626,0.5437799057202336,0.40582077769361175,0.9590659805850092,0.3101669165355502,0.6721564398924581,0.5910702122513588,0.5011181405388444,0.9377721994457671,1.0571074628591992,1.136981114860291,0.7577602467500345,0.9867642629611466,1.3368154921837392,0.413769102822706,0.8225489262052825,0.34643021251834727,0.6933017234853027,1.1799518757739875,1.0335150435291065,0.4328723469459458,0.5505285338821759,0.6681732061406507,0.3335848885707934,0.034252652876485046,0.10450636392874169,0.5710925921216422,0.26194374810405285,0.3309468635304225,0.6146739184675766,0.1011547717872652,0.22384268058559362,0.009548609713667777,0.32837807787866025,0.015260708767801917,0.060568025585454294,0.028161087124694992,0.525789296263293,0.5593708362831362,0.20898204511668814,0.0,0.0,0.007189801941103885,0.09953956793949033,155.73405250328014,12.827781520981727,1779.388135954553,8.908991666906275,59.47785891128504,5.153472117898459,3.009829742003117,1.1965574688837625e-75,686.0640846230409,51.91051836229075,0.15183664766995597,0.0,54.10966265094278,10444.367329600049,60.853754121332074,11178.926151258263,0.6028951000609831,5.3343993956469453e-253,8.44388418491234,6356.912108852776,0.11326413216285448,0.0,1490.0306902287964,54.58739493170492,282.3834496380469,552.0759799172727,616.107307262328,616.107307262328
2022-01-01,0.15982508652340677,0.007633312600375233,0.05297173837966466,0.5380402939282021,0.7773684316913327,0.7549665937825625,0.566168204194081,0.4262552811513731,0.746720030124489,0.4013253664074201,0.1382972809644532,0.2773454485409482,0.02938142379545383,0.04542463843047573,0.5287763184525391,0.5968047733366288,0.2820339837929121,0.5696974137540805,0.9821511039410555,0.20523897165613952,0.34405868767225867,0.4795144711986006,0.4103266949534151,0.3496174889774302,0.37841882525220766,0.2569299228199356,0.4402630631978864,0.5103503499799348,0.34056654071848935,0.43514638281278545,0.18866614339914195,0.3570988577244044,0.8056052407157394,1.9619798366932086,0.9558667701008795,0.6650163177471933,0.20623975854830226,0.2201546860573429,0.4698786112541702,0.6651395877753719,2.460516931021404,0.9046992244036072,0.07164632951521185,0.2986895857449144,0.7849707942446983,0.2040018732922083,0.5997584261247544,0.5614383539391401,0.6215342617245523,0.32002390410426296,0.13722553349332708,0.12717579845305987,0.7411592463731707,0.8798154423456228,0.8147273504294261,1.4263603121065114,0.10367985506944465,0.0,0.0587940058047019,0.27020833954150003,0.29825501121172804,0.16908196230189249,0.048887852420214095,0.24218793624966953,0.7373292801513057,0.7076871689091475,0.21338948685821185,0.24814929057042545,0.23603271905422096,0.18800825856869496,0.1079635563515958,0.23437681364238147,0.0,0.3269738896199067,0.23525605874638972,0.42082935321243053,0.41514658818929784,0.21729275794346564,0.29089099430023413,0.6180528131621652,0.24368316376458427,0.7308249468336565,0.7294596917762037,0.5590016754738785,0.7054446427650846,0.26602690258664285,0.26332829683094605,0.23697467099842862,0.35857120100672885,0.18663682321143732,0.6500317029252822,0.11110204721931606,0.8549555536591961,0.9961107633041285,0.5111554521445736,0.6587922966962272,0.6687004476952684,0.42309174834562235,0.27333505814035786,1.0775709279898154,0.40860855866040263,0.9091279052092196,0.5257172023703394,0.7345761599227407,0.5864594541659661,0.4211330379587863,0.8646773168963255,0.2449214341500836,0.5860410761253093,1.1341832056906842,0.5175941954131029,0.7086240505938811,0.45810469266534604,0.6633032347754968,0.6673088924448324,0.5997968384194255,0.6394225705902234,0.48870863392141384,0.34124545638049786,0.73124155222461,0.47539708959314825,0.593465691973505,0.9640729416723891,0.8634160467116774,1.0660822522375515,1.0681508819889438,0.8380149467496087,0.5860011711897379,1.4264288928277322,0.6048471835213469,0.5157165401389662,0.6758539764583831,0.6827363148327268,0.5018594790331333,0.43219216951887773,0.8442954794298179,0.6566773722031165,0.32128982685423213,0.024306645629123838,0.16466610808768145,161.9567678166452,12.570516511986503,1866.2992066187783,8.736506125210335,67.05630885862902,5.205602258846887,3.6914054422122216,0.0,705.8280555681963,4.228155897309614,0.15292815967448375,1.5330696007878972e-161,33.36201860344896,10730.005975027201,61.275392377550226,10796.37586222828,0.7212879183165432,1.168010497343485e-257,8.442781233863082,5931.527809479343,0.157766299592685,0.0,1414.472535053293,46.522233568514395,388.485450016648,836.2488208190788,424.37497946732094,424.37497946732094
2022-01-02,0.038544899604124536,0.0,0.0,0.12608130440989257,0.22542104859859824,0.1261727622497969,0.14422133863269726,0.027416090113865033,0.0,0.0,0.2166278104355503,0.13942014336192018,0.05046115085714051,0.039172606921019926,0.06106697385846266,0.02524716107955771,0.06622981149437102,0.16983727889910066,0.0,0.23730138056137334,0.0,0.2789074105654523,0.003467690338332108,0.0,0.00484461443744983,0.022634482370801415,0.10810480713655149,0.02778101513141587,0.06656122108926929,0.0,0.15064252568858505,0.0,0.07675700142309133,0.3634529840905698,0.5431972930367426,0.4633907624490726,0.05635261180911558,0.1714648099491723,0.15043436572776464,0.2671115042652832,0.07942967715833582,0.2829937311690637,0.0,0.15297137763499238,0.2641519808008157,0.0,0.02869122632482135,0.1898126725593297,0.0,0.03319764741884973,0.0,0.0,0.0,0.4129881715884329,0.0,0.0,0.08723254369841493,0.0,0.024070582673308194,0.0037319455473369956,0.0,0.11029743301744513,0.0,0.05669624571293837,0.0,0.06850808384212603,0.0,0.12877640163878346,0.046844234436857146,0.10833098808531808,0.03461462927693906,0.0,0.0,0.0,0.0,0.05563357900459509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12896250930092532,0.16057024708202544,0.0,0.17740484113609672,0.0,0.0,0.0,0.0062541474180488055,0.2339450065207198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023930852120202184,0.03636371349448542,0.06857743393735027,0.0,0.006017054324811699,0.0,0.10059753005351213,0.0,0.0,0.15971780924282153,0.0,0.0,0.07783346140056224,0.15401697447294527,0.05455068096833411,0.02883369441732264,0.0,0.0,0.0,0.1520365646820655,0.13208655416131582,0.020928120439363512,0.19525720071473934,0.00678980127710721,0.05600228359532272,0.0,0.6027484124359075,0.29072825691366827,0.34267163900224307,0.18023741980034796,0.08936115459502314,0.17927019496869287,0.28186392065049337,0.13665534751408043,0.17953959916831608,0.09135481248768568,0.021907195743458566,0.07992076386411352,157.7207640136161,12.238508798461444,1511.7110049034932,7.722084381040597,50.74652997388814,5.263068673260455,2.642802768090154,5.9373501605134904e-77,614.5630183008868,48.086703182019036,0.15068125300181867,1.2854853351201402e-161,36.54321358679873,10500.257053385087,60.76359958639387,11165.125212282766,0.9384059790475864,1.0311593985572352e-258,8.44277362729379,7642.668915178855,0.09824427737873773,0.0,1621.3755953001034,302.2464597540545,315.3336618760796,1009.5592640302339,540.3764423862116,540.3764423862116
2022-01-03,0.08327355278323995,0.004937233251725674,0.0,0.10457246639583778,0.04948366859163933,0.004239484563641538,0.13238491713133843,0.0,0.0,0.024486823173527184,0.19870882832944992,0.043580403622000996,0.10311084815227718,0.04594304662504445,0.0,0.0,0.0,0.0,0.012952523590746279,0.0,0.0,0.3000930985745328,0.0,0.0,0.0,0.0,0.0,0.0,0.05194776614889274,0.0,0.12754113942027,0.0,0.2191059898778367,0.334946080178701,0.25794069461330066,0.47479172646531786,0.0,0.024562020319438493,0.053814582264358146,0.12409831305290675,0.531254950412472,0.10550090283333624,0.0,0.06467542174598809,0.23849637199587026,0.0,0.0,0.15498863798525092,0.0,0.007483344553127616,0.0,0.0,0.0,0.1773164186845801,0.0657271768658394,0.0,0.03986377853093999,0.0,0.0,0.04125095120323241,0.003685696963168006,0.0,0.0,0.037855217108548736,0.0,0.0,0.0,0.0,0.02829320045329109,0.028217366428077553,0.0,0.0,0.0,0.0,0.0,0.1827513385060719,0.020129591732426733,0.0,0.0,0.12181379442706736,0.0,0.19521500651752743,0.10775820248908596,0.10387502948612276,0.06115642559754475,0.05415328132777081,0.0,0.0,0.0,0.0,0.0,0.0,0.2458726771539146,0.302834484749951,0.0,0.08962620157030915,0.010751128483110994,0.0,0.0,0.3005650162393563,0.0,0.273266174531952,0.1716627413028769,0.17737941691765846,0.32635451089730716,0.07959831295799158,0.287324408301998,0.0,0.2952845348012628,0.6647892985525374,0.0910580239955538,0.4209802038941377,0.15561904944237187,0.22690658137427633,0.36703979122406394,0.3046541648163197,0.23028709391137686,0.2938926119388582,0.21120114249187177,0.0,0.0,0.01982024110726288,0.06841929488670617,0.0,0.19445357443568922,0.255749228507936,0.16919222967869252,0.09449423677192736,0.5980639521527242,0.2557538695767019,0.13573491384358904,0.1634426985966101,0.07098566992345356,0.26642222535315063,0.2830536601852365,0.19835524577755326,0.22751805843976697,0.007504170682795852,0.014791585810421188,0.08239642166628021,151.38395328887478,12.4016788175624,1436.221374349867,7.021706164763248,48.51834266170579,5.283088701197746,2.4819591548759714,5.937350160465563e-77,646.0921078973375,9.790414099968466,0.14686767297906525,7.521059900766938e-162,35.65200708089748,10464.022983158548,60.56722592297777,11059.265385116862,0.9479391443693354,4.894850657364165e-259,8.44277362729379,7889.022933320402,0.08788582319049398,0.0,1655.0504043193669,289.2996232391668,283.3709506350442,982.1392498559977,521.6388498073621,521.6388498073621
2022-01-04,0.07241999457481262,0.0,0.0,0.201108577759621,0.23554388802663806,0.19752596331564043,0.2855098569503753,0.11643876786717722,0.0,0.0,0.23889507954675857,0.18292020078161375,0.06137032526222096,0.033987608151203164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955713047919969,0.052192132658845786,0.0,0.023346144714826995,0.060550305353935366,0.14668418468005942,0.1039772974683296,0.1367205684334241,0.0,0.12828042615804847,0.0,0.16748206879885236,0.6872700129596377,0.7027324504908405,0.6230764588021473,0.0,0.18609621259051137,0.0,0.3229578950802024,0.701774853912869,0.28824753392371755,0.0,0.20283259633430736,0.3891856924933811,0.004711000473073629,0.12456800907809784,0.21428181070956445,0.0,0.024250304105429152,0.0,0.0,0.05325047818754608,0.5228419333805976,0.0,0.0,0.08470876024723889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1696700738718101,0.0,0.0553969276218742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039704894317675966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809721019951383,0.19904574441792988,0.0,0.07992524145990795,0.0,0.0,0.0,0.0,0.3901682180819697,0.0,0.0,0.05825201243680679,0.0,0.0,0.0,0.0,0.0,0.0,0.026303267350266724,0.17466932174026112,0.18929128397507528,0.06866598134231766,0.0,0.0,0.15721212366516532,0.03892311452272429,0.0,0.24200973638455225,0.0,0.0,0.11860962610665199,0.2894898487632905,0.15499012650874733,0.1538651232201132,0.0,0.0,0.057013712701831476,0.30001090941024766,0.275758515055987,0.10648447857407708,0.3963862321135599,0.12264729801883334,0.21337335748125313,0.06617187680748887,0.9943775085355041,0.4642388745912297,0.5113123135756727,0.33747068410658615,0.28475331562436246,0.3002390786674472,0.405904557317597,0.29836000126776135,0.3071532226852911,0.18441765079783615,0.027006030427888798,0.11435079743240319,146.6668244161614,12.480948366370892,1356.24211967091,6.197638055297916,47.12653094853785,5.307267163287719,2.4632663060039897,7.327323943384883e-77,613.1921236009542,8.608303997772946,0.14690774801182294,9.653431392203414e-162,48.50683123872146,10494.504925848705,60.73038477691093,11092.929631252593,0.9716271816859954,6.481276100175219e-259,8.44614947621415,6779.719363911878,0.08050431861835472,0.0,1625.5243231258185,281.5747797174391,256.1081084895243,995.8046789821301,598.3824252741166,598.3824252741166
2022-01-05,0.05627444129727292,0.0034668926987134413,0.0,0.07215757216357085,0.003552267039978657,0.01647761220398275,0.1298866504009006,0.0,0.0,0.0,0.21515823238912501,0.040110295850174046,0.13904997639636213,0.05739264489935633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002608068917402,0.0,0.0,0.0,0.0,0.0,0.0,0.02444854165345897,0.0,0.09173572924302328,0.0,0.25923412968109816,0.2914522980363339,0.44686546685317863,0.7377628698759893,0.0,0.06997111878765264,0.02240905747900801,0.04477103239687255,0.4215620711638921,0.0,0.0,0.09245393296225198,0.28573586378810306,0.0,0.0,0.03834691868837245,0.0,0.0,0.0,0.0,0.0,0.15681794367594265,0.07621448154608482,0.0,0.0625542817075018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05474036594199658,0.0,0.0,0.0,0.0,0.0,0.0,0.1644792950929412,0.0,0.0,0.0,0.02155843197689873,0.0,0.0,0.0,0.0056222505022851255,0.04009437265291363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21055149708874718,0.2559549951451964,0.0,0.13775619402186617,0.014127264140681793,0.0,0.0,0.15240437894756512,0.0,0.1604734033495062,0.048821957655336146,0.16003283764137854,0.26719038585041677,0.0,0.226327833759912,0.0,0.27774518476890664,0.48985438875538323,0.0,0.3498434451652168,0.0940781038986245,0.029366852352196215,0.2578411503443861,0.3167107754787421,0.10326444297599469,0.26343727517119886,0.15341300101751892,0.0,0.0,0.0,0.04861342074158942,0.0,0.1552166258221699,0.07378321499134677,0.0776564852054828,0.0,0.5167310415279374,0.20159983810616705,0.2017243634189153,0.11807220745942551,0.07295263580451153,0.2997428535011871,0.349015604798446,0.20648076005600283,0.1718998406224348,0.03142011149852207,0.015250048623082591,0.0608290653102973,143.15032242150954,12.406916774409048,1269.1626936908458,5.643726763783988,45.529031780697856,5.335677558329351,2.29617594092483,7.327323943373208e-77,531.3515863409982,2.770726117975638,0.1439837395627273,8.765010606559614e-162,46.87847849308864,10768.930081194463,60.33732083681494,11109.031594764981,1.1208237458032428,5.650293059921008e-259,8.44614947621415,7349.397693616524,0.07370877421164776,0.0,1657.9782388164947,336.4562967196366,259.9053781588783,885.2799754628563,604.0846207969743,604.0846207969743
2022-01-06,0.036644832002480456,0.0,0.0,0.24905230913734505,0.20839760811990377,0.1342724961172314,0.26866150832196095,0.07865752836665361,0.0,0.0,0.14543289434790596,0.2098488718683699,0.0793872437369472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33632811049835953,0.0,0.0,0.0,0.0,0.0,0.09516934875583877,0.10481386623760217,0.0,0.11962354253486421,0.0,0.17536911839603161,0.6346703354357424,0.9277280700585371,0.8209938603439292,0.0,0.16753850940076825,0.0,0.3706440922060732,0.8999005849028772,0.21324468960294957,0.0,0.2400969650548254,0.493864091285233,0.0,0.06409797493444483,0.20383228008225546,0.0,0.0,0.0,0.0,0.0,0.5876207308265845,0.0,0.0,0.08031721331725963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17509435407134125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18623779956328812,0.08836331580505263,0.0,0.0,0.0,0.0,0.0,0.0,0.25901949653047723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14174463836842446,0.09543551069587723,0.0,0.0,0.0,0.03395787202734714,0.0,0.0,0.14201715490436845,0.0,0.0,0.0,0.1625707937931753,0.09376997272117493,0.11791312386784154,0.0,0.0,0.03959147186631156,0.2884282994557799,0.1785290328789707,0.0,0.3751681081757371,0.0,0.2231101975409361,0.0,1.2543630526300276,0.47915213690316394,0.6409579352424664,0.39893113401307656,0.3308274038409662,0.2811046852089799,0.38751765579172504,0.3724222052193825,0.3526386871777458,0.23621445781156464,0.02947171596261881,0.11089713080544482,141.69430908669847,12.360524354894984,1167.9435598818764,5.193599179146278,44.4698297864902,5.375204994638884,2.366948093482045,9.219278266976192e-77,498.0367736518132,8.050313467271023,0.14418355766199117,1.2909868209189028e-161,59.722738165588126,10857.305840263354,60.55789016058926,11435.64528141125,1.0731565359215267,9.689786383021975e-259,8.450266152584325,6764.381835758193,0.07172915687384869,0.0,1670.121034472272,336.98998956113826,217.4938539322624,882.2317612113274,576.3989807691535,576.3989807691535
2022-01-07,0.050370713314544596,0.0025121645005160317,0.0,0.058505189937986125,0.0,0.0,0.11391517274227274,0.0,0.0,0.0,0.26187443210233063,0.02034063486684283,0.16884931782913987,0.05263028945201452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30100562986621926,0.0,0.0,0.0,0.0,0.0,0.0,0.0043875022609133445,0.0,0.07071474606969767,0.0,0.10622249756690097,0.0,0.44649751378076186,0.856534819633925,0.0,0.018491785544321043,0.0,0.004642421112947728,0.053295324970412894,0.0,0.0,0.08734500151902422,0.233470411698205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05126989789759137,0.0,0.0,0.060490939970511706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1713113048004993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016619948120908182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866849541475958,0.12193666804818988,0.0,0.03610956188178602,0.0,0.0,0.0,0.0448092569524052,0.0,0.07537055184753913,0.011597785237379463,0.12148994201297242,0.24082170297386532,0.0,0.11100096701848156,0.0,0.23760720796727716,0.5445587306581166,0.0,0.3661120189616117,0.06799335097914301,0.0,0.2722624777061153,0.2670112494757335,0.07137979606098147,0.2532253230066033,0.13862053634649002,0.0,0.0,0.0,0.0,0.0,0.08192890911605621,0.0,0.02427984225002061,0.0,0.4177489710742396,0.175855600387113,0.247964923238712,0.10164948418721387,0.027186112230427287,0.3016081461118612,0.3813859611517468,0.0809458662868554,0.22640842086969,0.0,0.009756063530600587,0.0710526165581675,139.28222674626846,12.260831232698663,1012.1427146366765,4.694880114498072,42.89837081105387,5.414650980797216,2.104342654231454,9.2192782669608e-77,476.679994599185,0.0,0.1429061881905579,1.1189457721204707e-161,57.31809557857136,10896.616027905462,60.13525216195606,11557.008857304265,1.2545827605708066,7.568334138355041e-259,8.450266152584325,8016.900660384246,0.06489885234597993,0.0,1728.5873264689656,420.7609126914954,217.70751751357207,882.2004758782406,592.7305768511762,592.7305768511762
2022-01-08,0.0493746412326697,0.0,0.0,0.23895680446757084,0.23660083737366214,0.06308506876370665,0.28053841439313754,0.01695940502815169,0.0,0.0,0.16840048025004312,0.2174308518012813,0.1044634410282174,0.001990584915608204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3680383912413346,0.0,0.0,0.0,0.0,0.0,0.02167001686896465,0.12612263823508688,0.0,0.12448538043485817,0.0,0.08864351818351525,0.49036425907163156,0.9256774534983567,0.9591795532240348,0.0,0.17117126053798934,0.0,0.3651180557024268,0.8090681978080868,0.1384000361841259,0.0,0.2477964621780604,0.46636010406359857,0.0,0.0,0.09948140899598165,0.0,0.0,0.0,0.0,0.0,0.540287126385094,0.0,0.0,0.07437435014370826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12005478833963318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1762902571582082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10563953327461857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13460926575240306,0.0,0.0,0.0,0.07531040493122476,0.04082821799481051,0.1003272645462895,0.0,0.0,0.0,0.23263550817621392,0.13206596414859698,0.0,0.35678615930847657,0.0,0.1979685831313881,0.0,1.3581374789546252,0.5215918111392013,0.7655978549873946,0.42440468449592195,0.37393213728210484,0.32102532445932674,0.4695744062164308,0.306196853325526,0.4068469437338531,0.23190599403428902,0.03674706680672545,0.13418492602766394,138.24635939746474,12.297762727451406,914.4232700920842,4.101164700138146,40.71630817046974,5.453502234695112,2.218538088863111,1.1665727368900454e-76,444.9151650975221,6.892993599718965,0.14318935958724596,1.674032507960778e-161,61.900285970535066,10980.927606244739,60.445907787039104,11664.567666463434,1.181132016363274,1.2518159955421814e-258,8.452541300144855,7148.04752638037,0.06551394014643279,0.0,1738.687171128135,419.7558165335016,168.66931797974928,1015.2043739748408,536.1557078909357,536.1557078909357
2022-01-09,0.00466665247085514,0.0014503598531826326,0.0,0.0,0.0,0.0,0.05172485235306706,0.0,0.0,0.0,0.25150298969078916,0.004846864288219496,0.17856024220394046,0.008946541781062925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292054861379178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07275462677773464,0.0,0.0,0.0,0.5453448218289632,1.0292359957753436,0.0,0.0,0.0,0.0,0.08491012890417446,0.0,0.0,0.08271271603326598,0.23657386825395077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05067592156336703,0.0,0.0,0.015011223405366432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02298078439353532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010900098780674689,0.0,0.0,0.0,0.0,0.08611643863587698,0.0,0.1351093075787875,0.0,0.0,0.0,0.011143470667449057,0.0,0.10389754918525321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534276336864149,0.1664234190382789,0.28884335032573305,0.08977906385990207,0.0,0.18613018788345742,0.2832866557948953,0.03715483432848252,0.22043963491420593,0.0020798639586897642,0.016883199100959593,0.05386082788643339,134.966549091949,12.263590977452514,776.2835736001159,3.557158418987335,38.16793350844077,5.487636589279993,1.8734846401664196,1.166572736888056e-76,421.33973125430384,0.0,0.14081235682658794,1.4435957726323245e-161,59.07863500652765,10981.186602042746,60.05829131594348,11725.257066019192,1.3822194626107127,9.918850195282619e-259,8.452541300144855,8445.689555615892,0.05667474198879649,0.0,1809.0044713658529,528.7405557341068,181.373203593273,1033.0339996837636,544.6715272701089,544.6715272701089
